geneName,type
CAPN5,E6-EPI
IFI16,E6-EPI
OXT,E6-EPI
RNASET2,E6-EPI
SCGB3A2,E6-EPI
PYGB,E6-EPI
IFITM3,E6-EPI
CHST12,E6-EPI
TBCD,E6-EPI
KLK13,E6-EPI
SLC47A1,E6-EPI
CDA,E6-EPI
TSPAN18,E6-EPI
PCSK5,E6-EPI
GPR176,E6-EPI
BCL3,E6-EPI
POU5F1P3,E6-EPI
RGCC,E6-EPI
BEND4,E6-EPI
PSRC1,E6-EPI
ITM2C,E6-EPI
PHLDA3,E6-EPI
DPF1,E6-EPI
MKRN1,E6-EPI
DLGAP3,E6-EPI
PMEPA1,E6-EPI
PQLC1,E6-EPI
TRIM8,E6-EPI
ATP12A,E6-EPI
SPRY2,E6-EPI
FAM151A,E6-EPI
ALPL,E6-EPI
ICOSLG,E6-EPI
ARHGAP33,E6-EPI
NFKB2,E6-EPI
SPHK1,E6-EPI
JADE2,E6-EPI
CREB3L1,E6-EPI
ZNF462,E6-EPI
DFNB31,E6-EPI
FOXH1,E6-EPI
GNAI2,E6-EPI
SPRY4,E6-EPI
ACADS,E6-EPI
NRGN,E6-EPI
ZNF428,E6-EPI
PINK1,E6-EPI
TRH,E6-EPI
ITGA2,E6-EPI
MMP2,E6-EPI
LARP6,E6-EPI
APOE,E6-EPI
TMEM160,E6-EPI
LINC00261,E6-PE
P4HA1,E6-PE
COL4A1,E6-PE
HNF1B,E6-PE
FRZB,E6-PE
AMOTL1,E6-PE
PDGFRA,E6-PE
CADM1,E6-PE
NID2,E6-PE
APOA1,E6-PE
RSPO3,E6-PE
CTSE,E6-PE
GATA4,E6-PE
DPP4,E6-PE
FN1,E6-PE
MYL4,E6-PE
TRIM2,E6-PE
COL4A2,E6-PE
DENND2C,E6-PE
IGF1,E6-PE
DEPDC7,E6-PE
FLRT3,E6-PE
LOC101929344,E6-PE
BMP6,E6-PE
CAMK2D,E6-PE
CELA3A,E6-PE
CDH2,E6-PE
DUSP4,E6-PE
CDH11,E6-PE
SP8,E6-PE
ROBO1,E6-PE
PITX2,E6-PE
FOXA2,E6-PE
BMP2,E6-PE
APOA2,E6-PE
ITIH5,E6-PE
PROS1,E6-PE
PRCP,E6-PE
SERPINE2,E6-PE
SYT13,E6-PE
CACHD1,E6-PE
TNIP3,E6-PE
HNF4A,E6-PE
CPN1,E6-PE
HABP2,E6-PE
GPR161,E6-PE
FST,E6-PE
ID2,E6-PE
PDPN,E6-PE
PHLDB2,E6-PE
VWA5A,E6-PE
GPC3,E6-PE
CMBL,E6-PE
FGG,E6-PE
MGST2,E6-PE
ZCCHC24,E6-PE
SDF4,E6-PE
IFITM2,E6-PE
CDC34,E6-PE
ERF,E6-PE
GADD45GIP1,E6-PE
SLC12A2,E6-PE
KLRG2,E6-PE
C17orf89,E6-PE
ACTC1,E6-PE
KCNJ13,E6-PE
NACC2,E6-PE
AMDHD1,E6-PE
RHOBTB1,E6-PE
PRTG,E6-PE
TMEM160,E6-PE
PPDPF,E6-PE
DAPK1,E6-PE
LAYN,E6-PE
PTHLH,E6-PE
JUND,E6-PE
MLLT11,E6-PE
APOBR,E6-PE
RGCC,E6-PE
P2RY6,E6-PE
CYP26A1,E6-PE
ITGA5,E6-PE
EDNRB,E6-PE
MUC15,E6-PE
SGCB,E6-PE
SLC34A2,E6-PE
SPP1,E6-PE
ZNF428,E6-PE
TP53I13,E6-PE
CHMP4B,E6-PE
CITED4,E6-PE
SERINC1,E6-PE
GCM1,E6-PE
CBLB,E6-PE
PINK1,E6-PE
PRELID1,E6-PE
RMRP,E6-PE
PTGES2,E6-PE
HS6ST1,E6-PE
SCAND1,E6-PE
PTGES,E6-TE
DAB2,E6-TE
ATP6V1B1,E6-TE
EMP2,E6-TE
TACSTD2,E6-TE
SLC7A4,E6-TE
ATP6V0A4,E6-TE
SLC28A3,E6-TE
S100A6,E6-TE
FABP3,E6-TE
TMPRSS13,E6-TE
PPT1,E6-TE
SLC34A2,E6-TE
ABCG2,E6-TE
ENPEP,E6-TE
BASP1,E6-TE
KRT19,E6-TE
HIP1,E6-TE
FRMD4B,E6-TE
GRHL2,E6-TE
CAST,E6-TE
GATA3,E6-TE
ALPP,E6-TE
JDP2,E6-TE
CLDN10,E6-TE
PALLD,E6-TE
KRT18,E6-TE
GM2A,E6-TE
TMPRSS2,E6-TE
MYC,E6-TE
LRRFIP1,E6-TE
SLC7A2,E6-TE
ADAM15,E6-TE
CITED4,E6-TE
HSPB11,E6-TE
OSBPL6,E6-TE
ARHGAP23,E6-TE
NIM1K,E6-TE
S100A16,E6-TE
PLAC8,E6-TE
GATA2,E6-TE
ADK,E6-TE
FAM101B,E6-TE
KRT8,E6-TE
TMEM171,E6-TE
CYP26A1,E6-TE
TMEM106C,E6-TE
CD24,E6-TE
GAB2,E6-TE
SLC19A3,E6-TE
SH3GL3,E6-TE
FHL2,E6-TE
TET2,E6-TE
PPME1,E6-TE
PWWP2B,E6-TE
ACTN1,E6-TE
CLDN3,E6-TE
FBXL18,E6-TE
LAD1,E6-TE
MYLPF,E6-TE
LINC00842,E6-TE
SH3KBP1,E6-TE
ARHGAP18,E6-TE
CD55,E6-TE
SLC15A2,E6-TE
C1orf61,E6-TE
B3GNT2,E6-TE
CCKBR,E6-TE
ODAM,E6-TE
STARD10,E6-TE
KIAA0101,E6-TE
MPZL1,E6-TE
LAYN,E6-TE
SLC38A1,E6-TE
ECEL1P2,E6-TE
DNAJC1,E6-TE
SH3BGRL2,E6-TE
UBE2J1,E6-TE
STXBP6,E6-TE
PTPN21,E6-TE
EPS8L2,E6-TE
MGST1,E6-TE
ADAMTSL4,E6-TE
SMIM1,E6-TE
RAB31,E6-TE
THEM6,E6-TE
WLS,E6-TE
BUB1B,E6-TE
PKP3,E6-TE
PDCD4,E6-TE
COBLL1,E6-TE
SLC19A2,E6-TE
CASC5,E6-TE
CCBE1,E6-TE
IFITM2,E6-TE
CHMP4B,E6-TE
CAPN2,E6-TE
SCARA3,E6-TE
NCMAP,E6-TE
PSAT1,E6-TE
PRDM14,E7-EPI
DPPA5,E7-EPI
GDF3,E7-EPI
ESRG,E7-EPI
KLF17,E7-EPI
IFITM1,E7-EPI
ARGFX,E7-EPI
MEG3,E7-EPI
TDGF1,E7-EPI
NODAL,E7-EPI
UNC5B,E7-EPI
TDGF1P3,E7-EPI
CBFA2T2,E7-EPI
DND1,E7-EPI
LRP4,E7-EPI
BCOR,E7-EPI
DPPA2,E7-EPI
SLC25A12,E7-EPI
GUCA1A,E7-EPI
NANOG,E7-EPI
CCDC80,E7-EPI
SUSD2,E7-EPI
ZSCAN10,E7-EPI
MT1X,E7-EPI
PIM2,E7-EPI
MAP4K1,E7-EPI
LIM2,E7-EPI
WNT3,E7-EPI
CXCL12,E7-EPI
TBC1D16,E7-EPI
FAM46B,E7-EPI
TNFRSF8,E7-EPI
ETV1,E7-EPI
CPT1A,E7-EPI
MUC4,E7-EPI
FOXD3-AS1,E7-EPI
APOBEC3D,E7-EPI
ATP8B2,E7-EPI
SERINC5,E7-EPI
PSORS1C2,E7-EPI
IGSF1,E7-EPI
CAPG,E7-EPI
VSNL1,E7-EPI
CAMKV,E7-EPI
SERPINB6,E7-EPI
PLA2G4F,E7-EPI
DPPA4,E7-EPI
ABHD12B,E7-EPI
PRUNE2,E7-EPI
VENTX,E7-EPI
HEY2,E7-EPI
POU5F1,E7-EPI
CR1L,E7-EPI
PBX1,E7-EPI
CBR3,E7-EPI
PLBD1,E7-EPI
OXT,E7-EPI
CD200,E7-EPI
CNR2,E7-EPI
SCGB3A2,E7-EPI
IFITM3,E7-EPI
MAP1B,E7-EPI
SLC47A1,E7-EPI
KHDC3L,E7-EPI
RTL1,E7-EPI
PCED1B,E7-EPI
RPRM,E7-EPI
USP13,E7-EPI
INPP5D,E7-EPI
LRIG1,E7-EPI
BEND4,E7-EPI
GPM6B,E7-EPI
KLHL3,E7-EPI
MMP9,E7-EPI
NREP,E7-EPI
NRG1,E7-EPI
GCHFR,E7-EPI
HLA-F,E7-EPI
ARX,E7-EPI
